elapsed_s,fc_raw_vx,fc_raw_vy,odom_vx,odom_vy,filt_vx,filt_vy,filt_px,filt_py,tf_px,tf_py,amcl_x,amcl_y,amcl_yaw,coupling_ratio
0.50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0011,0.0000,-0.0011,0.0000,0.0000,0.0000,0.00,0.000000
1.01,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0011,0.0000,-0.0011,0.0000,0.0000,0.0000,0.00,0.000000
1.52,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0011,0.0000,-0.0011,0.0000,0.0000,0.0000,0.00,0.000000
2.02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0011,0.0000,-0.0011,0.0000,0.0000,0.0000,0.00,0.000000
2.52,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0011,0.0000,-0.0011,0.0000,0.0000,0.0000,0.00,0.000000
3.04,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0011,0.0000,-0.0011,0.0000,0.0000,0.0000,0.00,0.000000
3.54,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0011,0.0000,-0.0011,0.0000,0.0000,0.0000,0.00,0.000000
4.04,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0011,0.0000,-0.0011,0.0000,0.0000,0.0000,0.00,0.000000
4.54,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0011,0.0000,-0.0011,0.0000,0.0000,0.0000,0.00,0.000000
5.04,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0011,0.0000,-0.0011,0.0000,0.0000,0.0000,0.00,0.000000
5.54,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0011,0.0000,-0.0011,0.0000,0.0000,0.0000,0.00,0.000000
6.05,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0011,0.0000,-0.0011,0.0000,0.0000,0.0000,0.00,0.000000
6.55,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0011,0.0000,-0.0011,0.0000,0.0000,0.0000,0.00,0.000000
7.05,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0011,0.0000,-0.0011,0.0000,0.0000,0.0000,0.00,0.000000
7.55,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0011,0.0000,-0.0011,0.0000,0.0000,0.0000,0.00,0.000000
8.05,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,-0.0011,0.0000,-0.0011,0.0000,0.0000,0.0000,0.00,0.000000
8.55,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,-0.0011,0.0000,-0.0011,0.0000,0.0000,0.0000,0.00,0.000000
9.05,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,-0.0011,0.0000,-0.0011,0.0000,0.0000,0.0000,0.00,0.000000
9.55,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,-0.0011,0.0000,-0.0011,0.0000,0.0000,0.0000,0.00,0.000000
10.05,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,-0.0011,0.0000,-0.0011,0.0000,0.0000,0.0000,0.00,0.000000
10.55,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,-0.0011,0.0000,-0.0011,0.0000,0.0000,0.0000,0.00,0.000000
11.06,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,-0.0011,0.0000,-0.0011,0.0000,0.0000,0.0000,0.00,0.000000
11.56,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,-0.0011,0.0000,-0.0011,0.0000,0.0000,0.0000,0.00,0.000000
12.06,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,-0.0011,0.0000,-0.0011,0.0000,0.0000,0.0000,0.00,0.000000
12.57,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0011,0.0000,-0.0011,0.0000,0.0000,0.0000,0.00,0.000000
13.07,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0002,-0.0011,0.0000,-0.0011,0.0000,0.0237,0.0239,-31.24,0.000000
13.57,0.0000,0.0000,0.0000,0.0000,-0.0003,0.0000,-0.0011,-0.0000,-0.0011,-0.0000,0.0237,0.0239,-31.24,0.000000
14.07,0.0100,0.0000,0.0000,0.0000,0.0010,-0.0008,-0.0010,-0.0001,-0.0010,-0.0000,0.0237,0.0239,-31.24,0.000000
14.57,-0.0100,-0.0300,0.0000,-0.0300,-0.0140,-0.0153,0.0106,0.0002,0.0106,0.0002,0.0237,0.0239,-31.24,0.000000
15.07,-0.0400,0.0000,-0.0400,0.0000,-0.0107,-0.0125,0.0025,-0.0086,0.0026,-0.0085,-0.0293,0.0322,-31.26,0.000000
15.57,-0.0600,0.0000,-0.0600,0.0000,-0.0381,-0.0138,-0.0128,-0.0156,-0.0128,-0.0156,-0.0679,0.0126,-30.86,0.000000
