elapsed_s,fc_vx,fc_vy,odom_vx,odom_vy,filt_vx,filt_vy,tf_px,tf_py,dir_flag
0.21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0
0.41,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0
0.61,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0
0.82,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0
1.02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0
1.22,0.0100,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0
1.42,0.0100,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0
1.62,0.0100,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0
1.83,0.0100,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0
2.04,0.0100,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0
2.24,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0
2.44,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0
2.64,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0
2.84,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0
3.04,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0
3.25,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0
3.45,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0
3.66,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0
3.86,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.06,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.26,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.46,-0.0000,-0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0
4.66,-0.0000,-0.0000,0.0000,0.0000,0.0000,-0.0005,-0.0000,-0.0000,0
4.87,-0.0000,-0.0000,0.0000,0.0000,-0.0003,-0.0011,0.0000,-0.0003,0
5.07,-0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0211,-0.0000,-0.0003,0
5.28,-0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0004,0
5.48,0.0100,-0.0000,0.0000,0.0000,0.0003,0.0000,-0.0000,-0.0004,0
