elapsed_s,fc_vx,fc_vy,odom_vx,odom_vy,filt_vx,filt_vy,filt_px,filt_py,odom_base_x,odom_base_y,odom_base_yaw,map_odom_x,map_odom_y,map_odom_yaw,amcl_x,amcl_y,amcl_yaw,amcl_delta,pos_gap_x,pos_gap_y,odom_drift_speed
0.20,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,-0.0331,-0.0040,3.92,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
0.41,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.49,-0.0331,-0.0040,3.92,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
0.61,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.49,-0.0331,-0.0040,3.92,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
0.81,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.49,-0.0331,-0.0040,3.92,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
1.02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.49,-0.0331,-0.0040,3.92,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
1.22,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.48,-0.0331,-0.0040,3.92,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
1.43,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.49,-0.0331,-0.0040,3.92,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
1.64,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.49,-0.0331,-0.0040,3.92,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
1.84,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.49,-0.0331,-0.0040,3.92,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
2.04,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.49,-0.0331,-0.0040,3.92,0.0000,0.0000,0.00,0.000000,0.0000,0.0000,0.0000
