elapsed_s,amcl_x,amcl_y,amcl_yaw_deg,map_odom_x,map_odom_y,map_odom_yaw_deg,odom_base_x,odom_base_y,odom_base_yaw_deg,filt_vx,filt_vy,scan_hz,amcl_active
0.51,0.0000,0.0000,0.00,-0.0188,0.0716,148.02,0.0000,0.0000,0.00,0.0000,0.0000,0.0,0.000000
1.02,0.0000,0.0000,0.00,-0.0188,0.0716,148.02,0.0000,0.0000,0.00,0.0000,0.0000,0.0,0.000000
1.55,0.0000,0.0000,0.00,-0.0188,0.0716,148.02,0.0000,0.0000,-178.96,0.0000,0.0000,3.2,0.000000
2.06,0.0000,0.0000,0.00,-0.0188,0.0716,148.02,0.0000,0.0000,-178.94,0.0000,0.0000,0.0,0.000000
2.56,0.0000,0.0000,0.00,-0.0188,0.0716,148.02,0.0000,0.0000,-178.95,0.0000,0.0000,0.0,0.000000
3.06,0.0000,0.0000,0.00,-0.0188,0.0716,148.02,0.0000,0.0000,-178.98,0.0000,0.0000,5.9,0.000000
3.57,0.0000,0.0000,0.00,-0.0188,0.0716,148.02,0.0000,0.0000,-179.03,0.0000,0.0000,0.0,0.000000
4.08,0.0000,0.0000,0.00,-0.0188,0.0716,148.02,0.0000,0.0000,-179.07,0.0000,0.0000,0.0,0.000000
4.59,0.0000,0.0000,0.00,-0.0188,0.0716,148.02,0.0000,0.0000,-179.09,0.0000,0.0000,9.8,0.000000
5.09,0.0000,0.0000,0.00,-0.0188,0.0716,148.02,0.0000,0.0000,-179.13,0.0000,0.0000,0.0,0.000000
5.59,0.0000,0.0000,0.00,-0.0188,0.0716,148.02,0.0000,0.0000,-179.15,0.0000,0.0000,0.0,0.000000
6.10,0.0000,0.0000,0.00,-0.0188,0.0716,148.02,0.0000,0.0000,-179.17,0.0000,0.0000,10.6,0.000000
6.61,0.0000,0.0000,0.00,-0.0188,0.0716,148.02,0.0000,0.0000,-179.19,0.0000,0.0000,0.0,0.000000
7.11,0.0000,0.0000,0.00,-0.0188,0.0716,148.02,0.0000,0.0000,-179.20,0.0000,0.0000,0.0,0.000000
7.62,0.0000,0.0000,0.00,-0.0188,0.0716,148.02,0.0000,0.0000,-179.23,0.0000,0.0000,9.9,0.000000
8.12,0.0000,0.0000,0.00,-0.0188,0.0716,148.02,0.0000,0.0000,-179.25,0.0000,0.0000,0.0,0.000000
8.62,0.0000,0.0000,0.00,-0.0188,0.0716,148.02,0.0000,0.0000,-179.27,0.0000,0.0000,0.0,0.000000
9.13,0.0000,0.0000,0.00,-0.0188,0.0716,148.02,0.0000,0.0000,-179.30,0.0000,0.0000,9.9,0.000000
9.63,0.0000,0.0000,0.00,-0.0188,0.0716,148.02,0.0000,0.0000,-179.32,0.0000,0.0000,0.0,0.000000
