elapsed_s,amcl_pose_hz,odom_hz,scan_hz,tf_odom_base_hz,tf_map_odom_hz,amcl_x,amcl_y,amcl_yaw_deg,odom_base_x,odom_base_y,map_odom_x,map_odom_y,note
1.02,1.0,0.0,0.0,29.5,3.9,0.099,0.401,-150.66,0.245,0.454,-0.112,-0.068,⚠️ AMCL 低频! 
2.02,0.0,0.0,7.0,42.8,9.0,0.099,0.401,-150.66,0.249,0.462,-0.112,-0.068,⚠️ AMCL 低频! 
3.03,1.0,0.0,10.8,50.3,10.8,0.102,0.425,-150.57,0.252,0.475,-0.113,-0.065,⚠️ AMCL 低频! 
4.05,0.0,0.0,9.8,50.0,9.8,0.102,0.425,-150.57,0.257,0.484,-0.113,-0.065,⚠️ AMCL 低频! 
5.06,0.0,0.0,10.0,49.9,10.0,0.102,0.425,-150.57,0.262,0.493,-0.113,-0.065,⚠️ AMCL 低频! 
6.07,1.0,0.0,10.9,49.5,9.9,0.105,0.447,-150.50,0.264,0.500,-0.118,-0.066,⚠️ AMCL 低频! 
7.08,0.0,0.0,9.9,50.5,9.9,0.105,0.447,-150.50,0.268,0.503,-0.118,-0.066,⚠️ AMCL 低频! 
8.08,0.0,0.0,10.0,49.9,11.0,0.105,0.447,-150.50,0.271,0.508,-0.118,-0.066,⚠️ AMCL 低频! 
9.08,0.0,0.0,10.0,50.0,10.0,0.105,0.447,-150.50,0.275,0.512,-0.118,-0.066,⚠️ AMCL 低频! 
10.10,1.0,0.0,9.8,50.1,9.8,0.117,0.469,-150.53,0.279,0.518,-0.118,-0.065,⚠️ AMCL 低频! 
11.12,0.0,0.0,9.8,49.9,9.8,0.117,0.469,-150.53,0.281,0.525,-0.118,-0.065,⚠️ AMCL 低频! 
12.14,0.0,0.0,9.8,50.1,9.8,0.117,0.469,-150.53,0.282,0.529,-0.118,-0.065,⚠️ AMCL 低频! 
13.16,0.0,0.0,9.8,50.1,9.8,0.117,0.469,-150.53,0.285,0.530,-0.118,-0.065,⚠️ AMCL 低频! 
14.16,0.0,0.0,11.0,49.8,10.0,0.117,0.469,-150.53,0.287,0.530,-0.118,-0.065,⚠️ AMCL 低频! 
15.18,0.0,0.0,9.8,50.1,9.8,0.117,0.469,-150.53,0.291,0.533,-0.118,-0.065,⚠️ AMCL 低频! 
16.19,1.0,0.0,9.8,50.1,10.8,0.131,0.493,-150.28,0.293,0.536,-0.116,-0.063,⚠️ AMCL 低频! 
17.20,0.0,0.0,10.0,49.9,10.0,0.131,0.493,-150.28,0.297,0.539,-0.116,-0.063,⚠️ AMCL 低频! 
18.20,0.0,0.0,10.0,49.9,10.0,0.131,0.493,-150.28,0.301,0.545,-0.116,-0.063,⚠️ AMCL 低频! 
19.22,0.0,0.0,9.8,49.9,9.8,0.131,0.493,-150.28,0.307,0.551,-0.116,-0.063,⚠️ AMCL 低频! 
20.24,1.0,0.0,9.8,50.2,9.8,0.154,0.515,-149.99,0.314,0.557,-0.109,-0.064,⚠️ AMCL 低频! 
21.24,0.0,0.0,10.0,49.9,10.0,0.154,0.515,-149.99,0.321,0.562,-0.109,-0.064,⚠️ AMCL 低频! 
22.25,0.0,0.0,10.9,48.3,9.9,0.154,0.515,-149.99,0.326,0.565,-0.109,-0.064,⚠️ AMCL 低频! 
23.26,1.0,0.0,9.9,49.6,9.9,0.157,0.529,-149.59,0.332,0.568,-0.109,-0.064,⚠️ AMCL 低频! 
24.28,0.0,0.0,9.8,51.1,10.8,0.157,0.529,-149.59,0.338,0.568,-0.121,-0.066,⚠️ AMCL 低频! 
25.28,0.0,0.0,10.0,50.0,10.0,0.157,0.529,-149.59,0.344,0.568,-0.121,-0.066,⚠️ AMCL 低频! 
26.28,0.0,0.0,10.0,50.0,10.0,0.157,0.529,-149.59,0.349,0.569,-0.121,-0.066,⚠️ AMCL 低频! 
