elapsed_s,fc_vx,fc_vy,filt_vx,filt_vy,dvx,dvy,overshoot_flag
0.108,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.212,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.318,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.428,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.532,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.636,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.796,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.915,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.015,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.239,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.351,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.456,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.565,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.665,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.771,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.882,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
1.986,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.091,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.193,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.405,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.513,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.614,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.726,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
2.942,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.044,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.152,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.263,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.365,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.471,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.581,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.684,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.784,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.890,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
3.991,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.102,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.408,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.514,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.622,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.726,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.829,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
4.934,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.144,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.249,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.353,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.463,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.565,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.665,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
5.769,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
