elapsed_s,odom_vel_x,odom_vel_y,filt_vel_x,filt_vel_y,filt_pos_x,filt_pos_y,tf_pos_x,tf_pos_y
1.01,0.000,0.000,0.000,0.000,0.000,0.000,0.058,0.109
2.01,0.000,0.000,0.000,0.000,0.000,0.000,0.062,0.116
3.03,0.000,0.000,0.000,0.000,0.000,0.000,0.063,0.119
4.03,0.000,0.000,0.000,0.000,0.000,0.000,0.074,0.128
5.03,0.000,0.000,0.000,0.000,0.000,0.000,0.081,0.134
6.04,0.000,0.000,0.000,0.000,0.000,0.000,0.085,0.139
7.05,0.000,0.000,0.000,0.000,0.000,0.000,0.088,0.144
8.05,0.000,0.000,0.000,0.000,0.000,0.000,0.091,0.147
9.05,0.000,0.000,0.000,0.000,0.000,0.000,0.093,0.150
10.06,0.000,0.000,0.000,0.000,0.000,0.000,0.092,0.153
11.06,0.000,0.000,0.000,0.000,0.000,0.000,0.093,0.157
12.07,0.000,0.000,0.000,0.000,0.000,0.000,0.096,0.163
13.09,0.000,0.000,0.000,0.000,0.000,0.000,0.096,0.168
14.09,0.000,0.000,0.000,0.000,0.000,0.000,0.095,0.171
15.09,0.000,0.000,0.000,0.000,0.000,0.000,0.093,0.173
16.09,0.000,0.000,0.000,0.000,0.000,0.000,0.093,0.175
17.09,0.000,0.000,0.000,0.000,0.000,0.000,0.094,0.177
18.09,0.000,0.000,0.000,0.000,0.000,0.000,0.094,0.178
19.09,0.000,0.000,0.000,0.000,0.000,0.000,0.093,0.180
20.11,0.000,0.000,0.000,0.000,0.000,0.000,0.094,0.182
21.11,0.000,0.000,0.000,0.000,0.000,0.000,0.096,0.184
22.13,0.000,0.000,0.000,0.000,0.000,0.000,0.097,0.186
23.13,0.000,0.000,0.000,0.000,0.000,0.000,0.099,0.190
24.13,0.000,0.000,0.000,0.000,0.000,0.000,0.102,0.192
25.15,0.000,0.000,0.000,0.000,0.000,0.000,0.105,0.195
26.15,0.000,0.000,0.000,0.000,0.000,0.000,0.108,0.199
27.15,0.000,0.000,0.000,0.000,0.000,0.000,0.111,0.201
28.15,0.000,0.000,0.000,0.000,0.000,0.000,0.115,0.206
29.17,0.000,0.000,0.000,0.000,0.000,0.000,0.117,0.212
30.17,-0.070,0.000,0.000,0.000,0.000,0.000,0.106,0.223
31.17,0.000,0.000,0.000,0.000,0.000,0.000,0.043,0.236
32.19,-0.030,0.000,0.000,0.000,0.000,0.000,0.009,0.259
33.20,0.090,0.000,0.000,0.000,0.000,0.000,0.044,0.271
34.21,0.080,0.000,0.000,0.000,0.000,0.000,0.193,0.282
35.23,0.000,0.000,0.000,0.000,0.000,0.000,0.261,0.288
36.23,-0.020,0.000,0.000,0.000,0.000,0.000,0.264,0.289
37.23,-0.020,0.000,0.000,0.000,0.000,0.000,0.248,0.290
38.23,-0.010,0.000,0.000,0.000,0.000,0.000,0.234,0.291
39.25,0.000,0.000,0.000,0.000,0.000,0.000,0.225,0.300
40.25,0.000,0.000,0.000,0.000,0.000,0.000,0.220,0.309
41.27,0.000,-0.110,0.000,0.000,0.000,0.000,0.225,0.275
42.27,0.000,-0.090,0.000,0.000,0.000,0.000,0.232,0.153
43.27,0.000,0.140,0.000,0.000,0.000,0.000,0.234,0.134
44.29,0.010,0.110,0.000,0.000,0.000,0.000,0.237,0.272
45.29,0.000,0.020,0.000,0.000,0.000,0.000,0.251,0.382
46.29,0.000,0.000,0.000,0.000,0.000,0.000,0.253,0.415
47.29,0.000,-0.010,0.000,0.000,0.000,0.000,0.256,0.423
48.29,0.000,0.000,0.000,0.000,0.000,0.000,0.259,0.422
49.30,0.000,0.000,0.000,0.000,0.000,0.000,0.260,0.425
50.31,0.000,0.000,0.000,0.000,0.000,0.000,0.261,0.433
51.32,0.000,0.000,0.000,0.000,0.000,0.000,0.262,0.442
52.33,0.120,-0.010,0.000,0.000,0.000,0.000,0.304,0.450
53.33,0.060,-0.010,0.000,0.000,0.000,0.000,0.456,0.453
54.33,-0.100,0.010,0.000,0.000,0.000,0.000,0.466,0.452
55.35,-0.090,0.000,0.000,0.000,0.000,0.000,0.325,0.463
56.35,-0.010,0.000,0.000,0.000,0.000,0.000,0.250,0.469
57.35,0.000,0.000,0.000,0.000,0.000,0.000,0.238,0.480
58.35,0.000,0.000,0.000,0.000,0.000,0.000,0.238,0.489
59.35,0.000,0.000,0.000,0.000,0.000,0.000,0.240,0.498
60.35,0.000,0.000,0.000,0.000,0.000,0.000,0.243,0.502
61.35,0.000,0.000,0.000,0.000,0.000,0.000,0.246,0.508
62.36,0.000,0.000,0.000,0.000,0.000,0.000,0.246,0.516
63.36,0.000,0.000,0.000,0.000,0.000,0.000,0.248,0.520
64.37,0.000,0.000,0.000,0.000,0.000,0.000,0.248,0.522
65.37,0.000,0.030,0.000,0.000,0.000,0.000,0.249,0.528
66.37,-0.010,0.070,0.000,0.000,0.000,0.000,0.254,0.634
67.39,0.030,0.010,0.000,0.000,0.000,0.000,0.246,0.716
68.39,0.000,-0.080,0.000,0.000,0.000,0.000,0.255,0.668
69.39,0.000,-0.090,0.000,0.000,0.000,0.000,0.255,0.527
70.39,0.000,-0.010,0.000,0.000,0.000,0.000,0.257,0.462
71.39,0.000,0.000,0.000,0.000,0.000,0.000,0.257,0.458
72.40,0.000,0.000,0.000,0.000,0.000,0.000,0.258,0.464
73.41,0.000,0.000,0.000,0.000,0.000,0.000,0.261,0.466
74.41,0.000,0.000,0.000,0.000,0.000,0.000,0.264,0.466
75.41,0.000,0.000,0.000,0.000,0.000,0.000,0.264,0.466
76.43,0.000,0.000,0.000,0.000,0.000,0.000,0.267,0.467
