2026-07-19 16:52:07,623 INFO port=/dev/ttyUSB0 baud=500000 dest=0x61 flags=0x03
2026-07-19 16:52:07,624 INFO frame(31B)=AA 61 F5 19 00 00 00 00 00 00 00 00 00 00 00 00 64 00 00 00 00 00 00 00 00 00 00 00 03 80 56
2026-07-19 16:52:07,631 INFO [TX #1] 0xF5 cur=(0.0, 0.0, 0.0) tar=(100.0, 0.0, 0.0) flags=0x03
2026-07-19 16:52:07,639 INFO [RX 0xA0 GREEN] F5 #2 f=03 c=0,0,0 t=100,0,0
2026-07-19 16:52:07,732 INFO [TX #2] 0xF5 cur=(0.0, 0.0, 0.0) tar=(100.0, 0.0, 0.0) flags=0x03
2026-07-19 16:52:07,737 INFO [RX 0xA0 GREEN] F5 #3 f=03 c=0,0,0 t=100,0,0
2026-07-19 16:52:07,833 INFO [TX #3] 0xF5 cur=(0.0, 0.0, 0.0) tar=(100.0, 0.0, 0.0) flags=0x03
2026-07-19 16:52:07,838 INFO [RX 0xA0 GREEN] F5 #4 f=03 c=0,0,0 t=100,0,0
2026-07-19 16:52:07,935 INFO [TX #4] 0xF5 cur=(0.0, 0.0, 0.0) tar=(100.0, 0.0, 0.0) flags=0x03
2026-07-19 16:52:07,939 INFO [RX 0xA0 GREEN] F5 #5 f=03 c=0,0,0 t=100,0,0
2026-07-19 16:52:08,036 INFO [TX #5] 0xF5 cur=(0.0, 0.0, 0.0) tar=(100.0, 0.0, 0.0) flags=0x03
2026-07-19 16:52:08,041 INFO [RX 0xA0 GREEN] F5 #6 f=03 c=0,0,0 t=100,0,0
2026-07-19 16:52:08,138 INFO [TX #6] 0xF5 cur=(0.0, 0.0, 0.0) tar=(100.0, 0.0, 0.0) flags=0x03
2026-07-19 16:52:08,143 INFO [RX 0xA0 GREEN] F5 #7 f=03 c=0,0,0 t=100,0,0
2026-07-19 16:52:08,240 INFO [TX #7] 0xF5 cur=(0.0, 0.0, 0.0) tar=(100.0, 0.0, 0.0) flags=0x03
2026-07-19 16:52:08,243 INFO [RX 0xA0 GREEN] F5 #8 f=03 c=0,0,0 t=100,0,0
2026-07-19 16:52:08,341 INFO [TX #8] 0xF5 cur=(0.0, 0.0, 0.0) tar=(100.0, 0.0, 0.0) flags=0x03
2026-07-19 16:52:08,346 INFO [RX 0xA0 GREEN] F5 #9 f=03 c=0,0,0 t=100,0,0
2026-07-19 16:52:08,443 INFO [TX #9] 0xF5 cur=(0.0, 0.0, 0.0) tar=(100.0, 0.0, 0.0) flags=0x03
2026-07-19 16:52:08,447 INFO [RX 0xA0 GREEN] F5 #10 f=03 c=0,0,0 t=100,0,0
2026-07-19 16:52:08,544 INFO [TX #10] 0xF5 cur=(0.0, 0.0, 0.0) tar=(100.0, 0.0, 0.0) flags=0x03
2026-07-19 16:52:08,548 INFO [RX 0xA0 GREEN] F5 #11 f=03 c=0,0,0 t=100,0,0
2026-07-19 16:52:08,646 INFO [TX #11] 0xF5 cur=(0.0, 0.0, 0.0) tar=(100.0, 0.0, 0.0) flags=0x03
2026-07-19 16:52:08,650 INFO [RX 0xA0 GREEN] F5 #12 f=03 c=0,0,0 t=100,0,0
2026-07-19 16:52:08,747 INFO [TX #12] 0xF5 cur=(0.0, 0.0, 0.0) tar=(100.0, 0.0, 0.0) flags=0x03
2026-07-19 16:52:08,751 INFO [RX 0xA0 GREEN] F5 #13 f=03 c=0,0,0 t=100,0,0
2026-07-19 16:52:08,848 INFO [TX #13] 0xF5 cur=(0.0, 0.0, 0.0) tar=(100.0, 0.0, 0.0) flags=0x03
2026-07-19 16:52:08,852 INFO [RX 0xA0 GREEN] F5 #14 f=03 c=0,0,0 t=100,0,0
2026-07-19 16:52:08,950 INFO [TX #14] 0xF5 cur=(0.0, 0.0, 0.0) tar=(100.0, 0.0, 0.0) flags=0x03
2026-07-19 16:52:08,954 INFO [RX 0xA0 GREEN] F5 #15 f=03 c=0,0,0 t=100,0,0
2026-07-19 16:52:09,051 INFO [TX #15] 0xF5 cur=(0.0, 0.0, 0.0) tar=(100.0, 0.0, 0.0) flags=0x03
2026-07-19 16:52:09,056 INFO [RX 0xA0 GREEN] F5 #16 f=03 c=0,0,0 t=100,0,0
2026-07-19 16:52:09,153 INFO [TX #16] 0xF5 cur=(0.0, 0.0, 0.0) tar=(100.0, 0.0, 0.0) flags=0x03
2026-07-19 16:52:09,157 INFO [RX 0xA0 GREEN] F5 #17 f=03 c=0,0,0 t=100,0,0
2026-07-19 16:52:09,254 INFO [TX #17] 0xF5 cur=(0.0, 0.0, 0.0) tar=(100.0, 0.0, 0.0) flags=0x03
2026-07-19 16:52:09,259 INFO [RX 0xA0 GREEN] F5 #18 f=03 c=0,0,0 t=100,0,0
2026-07-19 16:52:09,356 INFO [TX #18] 0xF5 cur=(0.0, 0.0, 0.0) tar=(100.0, 0.0, 0.0) flags=0x03
2026-07-19 16:52:09,360 INFO [RX 0xA0 GREEN] F5 #19 f=03 c=0,0,0 t=100,0,0
2026-07-19 16:52:09,458 INFO [TX #19] 0xF5 cur=(0.0, 0.0, 0.0) tar=(100.0, 0.0, 0.0) flags=0x03
2026-07-19 16:52:09,462 INFO [RX 0xA0 GREEN] F5 #20 f=03 c=0,0,0 t=100,0,0
2026-07-19 16:52:09,559 INFO [TX #20] 0xF5 cur=(0.0, 0.0, 0.0) tar=(100.0, 0.0, 0.0) flags=0x03
2026-07-19 16:52:09,564 INFO [RX 0xA0 GREEN] F5 #21 f=03 c=0,0,0 t=100,0,0
2026-07-19 16:52:09,661 INFO [TX #21] 0xF5 cur=(0.0, 0.0, 0.0) tar=(100.0, 0.0, 0.0) flags=0x03
