2026-07-19 16:52:11,979 INFO port=/dev/ttyUSB0 baud=500000 dest=0x61 flags=0x03
2026-07-19 16:52:11,980 INFO frame(31B)=AA 61 F5 19 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64 00 00 00 00 00 00 00 03 80 C6
2026-07-19 16:52:11,987 INFO [TX #1] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 100.0, 0.0) flags=0x03
2026-07-19 16:52:11,994 INFO [RX 0xA0 GREEN] F5 #32 f=03 c=0,0,0 t=0,100,0
2026-07-19 16:52:12,088 INFO [TX #2] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 100.0, 0.0) flags=0x03
2026-07-19 16:52:12,092 INFO [RX 0xA0 GREEN] F5 #33 f=03 c=0,0,0 t=0,100,0
2026-07-19 16:52:12,190 INFO [TX #3] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 100.0, 0.0) flags=0x03
2026-07-19 16:52:12,194 INFO [RX 0xA0 GREEN] F5 #34 f=03 c=0,0,0 t=0,100,0
2026-07-19 16:52:12,291 INFO [TX #4] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 100.0, 0.0) flags=0x03
2026-07-19 16:52:12,296 INFO [RX 0xA0 GREEN] F5 #35 f=03 c=0,0,0 t=0,100,0
2026-07-19 16:52:12,393 INFO [TX #5] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 100.0, 0.0) flags=0x03
2026-07-19 16:52:12,397 INFO [RX 0xA0 GREEN] F5 #36 f=03 c=0,0,0 t=0,100,0
2026-07-19 16:52:12,494 INFO [TX #6] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 100.0, 0.0) flags=0x03
2026-07-19 16:52:12,499 INFO [RX 0xA0 GREEN] F5 #37 f=03 c=0,0,0 t=0,100,0
2026-07-19 16:52:12,596 INFO [TX #7] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 100.0, 0.0) flags=0x03
2026-07-19 16:52:12,601 INFO [RX 0xA0 GREEN] F5 #38 f=03 c=0,0,0 t=0,100,0
2026-07-19 16:52:12,698 INFO [TX #8] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 100.0, 0.0) flags=0x03
2026-07-19 16:52:12,702 INFO [RX 0xA0 GREEN] F5 #39 f=03 c=0,0,0 t=0,100,0
2026-07-19 16:52:12,800 INFO [TX #9] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 100.0, 0.0) flags=0x03
2026-07-19 16:52:12,804 INFO [RX 0xA0 GREEN] F5 #40 f=03 c=0,0,0 t=0,100,0
2026-07-19 16:52:12,901 INFO [TX #10] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 100.0, 0.0) flags=0x03
2026-07-19 16:52:12,906 INFO [RX 0xA0 GREEN] F5 #41 f=03 c=0,0,0 t=0,100,0
2026-07-19 16:52:13,003 INFO [TX #11] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 100.0, 0.0) flags=0x03
2026-07-19 16:52:13,007 INFO [RX 0xA0 GREEN] F5 #42 f=03 c=0,0,0 t=0,100,0
2026-07-19 16:52:13,105 INFO [TX #12] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 100.0, 0.0) flags=0x03
2026-07-19 16:52:13,108 INFO [RX 0xA0 GREEN] F5 #43 f=03 c=0,0,0 t=0,100,0
2026-07-19 16:52:13,207 INFO [TX #13] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 100.0, 0.0) flags=0x03
2026-07-19 16:52:13,211 INFO [RX 0xA0 GREEN] F5 #44 f=03 c=0,0,0 t=0,100,0
2026-07-19 16:52:13,309 INFO [TX #14] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 100.0, 0.0) flags=0x03
2026-07-19 16:52:13,313 INFO [RX 0xA0 GREEN] F5 #45 f=03 c=0,0,0 t=0,100,0
2026-07-19 16:52:13,411 INFO [TX #15] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 100.0, 0.0) flags=0x03
2026-07-19 16:52:13,415 INFO [RX 0xA0 GREEN] F5 #46 f=03 c=0,0,0 t=0,100,0
2026-07-19 16:52:13,512 INFO [TX #16] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 100.0, 0.0) flags=0x03
2026-07-19 16:52:13,516 INFO [RX 0xA0 GREEN] F5 #47 f=03 c=0,0,0 t=0,100,0
2026-07-19 16:52:13,614 INFO [TX #17] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 100.0, 0.0) flags=0x03
2026-07-19 16:52:13,618 INFO [RX 0xA0 GREEN] F5 #48 f=03 c=0,0,0 t=0,100,0
2026-07-19 16:52:13,716 INFO [TX #18] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 100.0, 0.0) flags=0x03
2026-07-19 16:52:13,720 INFO [RX 0xA0 GREEN] F5 #49 f=03 c=0,0,0 t=0,100,0
2026-07-19 16:52:13,818 INFO [TX #19] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 100.0, 0.0) flags=0x03
2026-07-19 16:52:13,822 INFO [RX 0xA0 GREEN] F5 #50 f=03 c=0,0,0 t=0,100,0
2026-07-19 16:52:13,919 INFO [TX #20] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 100.0, 0.0) flags=0x03
2026-07-19 16:52:13,923 INFO [RX 0xA0 GREEN] F5 #51 f=03 c=0,0,0 t=0,100,0
2026-07-19 16:52:14,021 INFO [TX #21] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 100.0, 0.0) flags=0x03
2026-07-19 16:52:14,025 INFO [RX 0xA0 GREEN] F5 #52 f=03 c=0,0,0 t=0,100,0
2026-07-19 16:52:14,123 INFO [TX #22] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 100.0, 0.0) flags=0x03
2026-07-19 16:52:14,127 INFO [RX 0xA0 GREEN] F5 #53 f=03 c=0,0,0 t=0,100,0
2026-07-19 16:52:14,225 INFO [TX #23] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 100.0, 0.0) flags=0x03
2026-07-19 16:52:14,229 INFO [RX 0xA0 GREEN] F5 #54 f=03 c=0,0,0 t=0,100,0
2026-07-19 16:52:14,327 INFO [TX #24] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 100.0, 0.0) flags=0x03
2026-07-19 16:52:14,331 INFO [RX 0xA0 GREEN] F5 #55 f=03 c=0,0,0 t=0,100,0
2026-07-19 16:52:14,428 INFO [TX #25] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 100.0, 0.0) flags=0x03
2026-07-19 16:52:14,432 INFO [RX 0xA0 GREEN] F5 #56 f=03 c=0,0,0 t=0,100,0
2026-07-19 16:52:14,530 INFO [TX #26] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 100.0, 0.0) flags=0x03
2026-07-19 16:52:14,534 INFO [RX 0xA0 GREEN] F5 #57 f=03 c=0,0,0 t=0,100,0
2026-07-19 16:52:14,631 INFO [TX #27] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 100.0, 0.0) flags=0x03
2026-07-19 16:52:14,635 INFO [RX 0xA0 GREEN] F5 #58 f=03 c=0,0,0 t=0,100,0
2026-07-19 16:52:14,733 INFO [TX #28] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 100.0, 0.0) flags=0x03
2026-07-19 16:52:14,737 INFO [RX 0xA0 GREEN] F5 #59 f=03 c=0,0,0 t=0,100,0
2026-07-19 16:52:14,834 INFO [TX #29] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 100.0, 0.0) flags=0x03
2026-07-19 16:52:14,838 INFO [RX 0xA0 GREEN] F5 #60 f=03 c=0,0,0 t=0,100,0
2026-07-19 16:52:14,936 INFO [TX #30] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 100.0, 0.0) flags=0x03
2026-07-19 16:52:14,940 INFO [RX 0xA0 GREEN] F5 #61 f=03 c=0,0,0 t=0,100,0
2026-07-19 16:52:16,048 INFO serial closed
