2026-07-19 16:52:16,337 INFO port=/dev/ttyUSB0 baud=500000 dest=0x61 flags=0x03
2026-07-19 16:52:16,338 INFO frame(31B)=AA 61 F5 19 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64 00 00 00 03 80 36
2026-07-19 16:52:16,347 INFO [TX #1] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 0.0, 100.0) flags=0x03
2026-07-19 16:52:16,354 INFO [RX 0xA0 GREEN] F5 #62 f=03 c=0,0,0 t=0,0,100
2026-07-19 16:52:16,448 INFO [TX #2] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 0.0, 100.0) flags=0x03
2026-07-19 16:52:16,452 INFO [RX 0xA0 GREEN] F5 #63 f=03 c=0,0,0 t=0,0,100
2026-07-19 16:52:16,549 INFO [TX #3] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 0.0, 100.0) flags=0x03
2026-07-19 16:52:16,553 INFO [RX 0xA0 GREEN] F5 #64 f=03 c=0,0,0 t=0,0,100
2026-07-19 16:52:16,650 INFO [TX #4] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 0.0, 100.0) flags=0x03
2026-07-19 16:52:16,654 INFO [RX 0xA0 GREEN] F5 #65 f=03 c=0,0,0 t=0,0,100
2026-07-19 16:52:16,752 INFO [TX #5] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 0.0, 100.0) flags=0x03
2026-07-19 16:52:16,756 INFO [RX 0xA0 GREEN] F5 #66 f=03 c=0,0,0 t=0,0,100
2026-07-19 16:52:16,853 INFO [TX #6] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 0.0, 100.0) flags=0x03
2026-07-19 16:52:16,857 INFO [RX 0xA0 GREEN] F5 #67 f=03 c=0,0,0 t=0,0,100
2026-07-19 16:52:16,955 INFO [TX #7] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 0.0, 100.0) flags=0x03
2026-07-19 16:52:16,959 INFO [RX 0xA0 GREEN] F5 #68 f=03 c=0,0,0 t=0,0,100
2026-07-19 16:52:17,056 INFO [TX #8] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 0.0, 100.0) flags=0x03
2026-07-19 16:52:17,061 INFO [RX 0xA0 GREEN] F5 #69 f=03 c=0,0,0 t=0,0,100
2026-07-19 16:52:17,157 INFO [TX #9] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 0.0, 100.0) flags=0x03
2026-07-19 16:52:17,162 INFO [RX 0xA0 GREEN] F5 #70 f=03 c=0,0,0 t=0,0,100
2026-07-19 16:52:17,259 INFO [TX #10] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 0.0, 100.0) flags=0x03
2026-07-19 16:52:17,263 INFO [RX 0xA0 GREEN] F5 #71 f=03 c=0,0,0 t=0,0,100
2026-07-19 16:52:17,360 INFO [TX #11] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 0.0, 100.0) flags=0x03
2026-07-19 16:52:17,365 INFO [RX 0xA0 GREEN] F5 #72 f=03 c=0,0,0 t=0,0,100
2026-07-19 16:52:17,462 INFO [TX #12] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 0.0, 100.0) flags=0x03
2026-07-19 16:52:17,466 INFO [RX 0xA0 GREEN] F5 #73 f=03 c=0,0,0 t=0,0,100
2026-07-19 16:52:17,563 INFO [TX #13] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 0.0, 100.0) flags=0x03
2026-07-19 16:52:17,567 INFO [RX 0xA0 GREEN] F5 #74 f=03 c=0,0,0 t=0,0,100
2026-07-19 16:52:17,665 INFO [TX #14] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 0.0, 100.0) flags=0x03
2026-07-19 16:52:17,668 INFO [RX 0xA0 GREEN] F5 #75 f=03 c=0,0,0 t=0,0,100
2026-07-19 16:52:17,766 INFO [TX #15] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 0.0, 100.0) flags=0x03
2026-07-19 16:52:17,770 INFO [RX 0xA0 GREEN] F5 #76 f=03 c=0,0,0 t=0,0,100
2026-07-19 16:52:17,868 INFO [TX #16] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 0.0, 100.0) flags=0x03
2026-07-19 16:52:17,872 INFO [RX 0xA0 GREEN] F5 #77 f=03 c=0,0,0 t=0,0,100
2026-07-19 16:52:17,969 INFO [TX #17] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 0.0, 100.0) flags=0x03
2026-07-19 16:52:17,973 INFO [RX 0xA0 GREEN] F5 #78 f=03 c=0,0,0 t=0,0,100
2026-07-19 16:52:18,071 INFO [TX #18] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 0.0, 100.0) flags=0x03
2026-07-19 16:52:18,075 INFO [RX 0xA0 GREEN] F5 #79 f=03 c=0,0,0 t=0,0,100
2026-07-19 16:52:18,172 INFO [TX #19] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 0.0, 100.0) flags=0x03
2026-07-19 16:52:18,176 INFO [RX 0xA0 GREEN] F5 #80 f=03 c=0,0,0 t=0,0,100
2026-07-19 16:52:18,273 INFO [TX #20] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 0.0, 100.0) flags=0x03
2026-07-19 16:52:18,277 INFO [RX 0xA0 GREEN] F5 #81 f=03 c=0,0,0 t=0,0,100
2026-07-19 16:52:18,375 INFO [TX #21] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 0.0, 100.0) flags=0x03
2026-07-19 16:52:18,379 INFO [RX 0xA0 GREEN] F5 #82 f=03 c=0,0,0 t=0,0,100
2026-07-19 16:52:18,476 INFO [TX #22] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 0.0, 100.0) flags=0x03
2026-07-19 16:52:18,481 INFO [RX 0xA0 GREEN] F5 #83 f=03 c=0,0,0 t=0,0,100
2026-07-19 16:52:18,578 INFO [TX #23] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 0.0, 100.0) flags=0x03
2026-07-19 16:52:18,582 INFO [RX 0xA0 GREEN] F5 #84 f=03 c=0,0,0 t=0,0,100
2026-07-19 16:52:18,679 INFO [TX #24] 0xF5 cur=(0.0, 0.0, 0.0) tar=(0.0, 0.0, 100.0) flags=0x03
2026-07-19 16:52:18,684 INFO [RX 0xA0 GREEN] F5 #85 f=03 c=0,0,0 t=0,0,100
